id_player;experiment_condition;turn_token;turn_number;position_clicked;card_clicked;time_game;time_until_match;match;game_ended;board_changed;trials;robot_speech;wrong_card;subject
29;CI;human;1;[0, 0];madrid;00:05;00:05;False;False;False;0;geography;False;
29;CI;human;2;[1, 2];result_1;00:09;00:09;False;False;False;0;False;False;
29;CI;human;3;[2, 1];paris;00:16;00:16;False;False;False;0;False;False;
29;CI;human;4;[2, 3];rome;00:21;00:21;False;False;False;4.5;geography;False;
29;CI;human;5;[1, 2];result_1;00:23;00:23;False;False;False;4.5;False;False;
29;CI;human;6;[2, 0];equation_2;00:27;00:27;False;False;False;4;False;False;
29;CI;human;7;[3, 0];france;00:32;00:32;False;False;False;4;False;False;
29;CI;human;8;[2, 2];argentina;00:36;00:36;False;False;False;3.5;False;False;
29;CI;human;9;[1, 2];result_1;00:40;00:40;False;False;False;3.5;False;False;
29;CI;human;10;[2, 3];rome;00:42;00:42;False;False;False;1.5;False;False;
29;CI;human;11;[3, 3];result_4;00:45;00:45;False;False;False;1.5;False;False;
29;CI;human;12;[2, 0];equation_2;00:49;00:49;False;False;False;0.5;math;False;
29;CI;math;13;[0, 2];equation_3;00:51;00:51;False;False;False;0.5;False;False;math
29;CI;math;14;[0, 3];italy;00:53;00:53;False;False;True;5;False;False;math
29;CI;human;15;[1, 0];result_2;00:58;00:58;False;False;False;5;math;False;
29;CI;human;16;[3, 0];rome;01:00;01:00;False;False;False;4.5;geography;False;
29;CI;human;17;[0, 0];equation_1;01:04;01:04;False;False;False;4.5;False;False;
29;CI;human;18;[1, 1];spain;01:11;01:11;False;False;False;4;geography;False;
29;CI;human;19;[0, 2];result_3;01:13;01:13;False;False;False;4;False;False;
29;CI;human;20;[0, 3];madrid;01:18;01:18;False;False;False;3.5;geography;False;
29;CI;geography;21;[0, 3];madrid;01:19;01:19;False;False;False;3.5;False;False;geography
29;CI;geography;22;[1, 1];spain;01:20;01:20;True;False;False;5;False;False;geography
29;CI;human;23;[3, 2];buenos_aires;01:26;00:06;False;False;False;5;geography;False;
29;CI;human;24;[2, 3];argentina;01:28;00:08;True;False;False;4;False;False;
29;CI;human;25;[0, 2];result_3;01:33;00:05;False;False;False;4;False;False;
29;CI;human;26;[2, 1];italy;01:37;00:09;False;False;False;3;False;False;
29;CI;human;27;[3, 0];rome;01:40;00:12;False;False;False;3;False;False;
