id_player;experiment_condition;turn_token;turn_number;position_clicked;card_clicked;time_game;time_until_match;match;game_ended;board_changed;trials;robot_speech;wrong_card;subject
31;CC;human;1;[0, 0];equation_2;0:6;0:6;False;False;False;0;math;False;
31;CC;human;2;[1, 3];result_3;0:12;0:12;False;False;False;0;False;False;
31;CC;human;3;[2, 1];result_2;0:16;0:16;False;False;False;0;math;False;
31;CC;human;4;[0, 0];equation_2;0:18;0:18;True;False;False;5;math;False;
31;CC;human;5;[3, 0];equation_4;0:24;0:6;False;False;False;5;False;False;
31;CC;human;6;[0, 3];rome;0:40;0:22;False;False;False;4.5;False;False;
31;CC;human;7;[1, 2];france;0:43;0:25;False;False;False;4.5;False;False;
31;CC;human;8;[3, 2];madrid;0:45;0:27;False;False;False;4;False;False;
31;CC;human;9;[3, 3];result_1;0:49;0:31;False;False;False;4;False;False;
31;CC;human;10;[1, 1];buenos_aires;0:51;0:33;False;False;False;3.5;False;False;
31;CC;human;11;[2, 3];equation_3;0:54;0:36;False;False;False;3.5;False;False;
31;CC;human;12;[3, 1];paris;1:1;0:43;False;False;False;3;False;False;
31;CC;human;13;[0, 2];result_4;1:6;0:48;False;False;False;3;math;False;
31;CC;human;14;[3, 0];equation_4;1:10;0:52;True;False;False;4;math;False;
31;CC;human;15;[2, 0];equation_1;1:13;0:3;False;False;False;4;False;False;
31;CC;human;16;[1, 3];result_3;1:19;0:9;False;False;False;3.5;math;False;
31;CC;human;17;[1, 2];france;1:19;0:9;False;False;False;3.5;False;False;
31;CC;human;18;[3, 1];paris;1:21;0:11;True;False;False;3;False;False;
31;CC;human;19;[2, 2];spain;1:23;0:2;False;False;False;3;geography;False;
31;CC;human;20;[1, 3];result_3;1:28;0:7;False;False;False;2;math;False;
31;CC;human;21;[3, 3];result_1;1:33;0:12;False;False;False;2;math;False;
31;CC;human;22;[2, 0];equation_1;1:37;0:16;True;False;False;3;math;False;
31;CC;human;23;[0, 1];italy;1:49;0:12;False;False;False;3;geography;False;
31;CC;human;24;[0, 3];rome;1:55;0:18;True;False;False;2;geography;False;
31;CC;human;25;[1, 1];buenos_aires;2:0;0:5;False;False;False;2;geography;False;
31;CC;human;26;[3, 2];madrid;2:44;0:49;False;False;True;2;False;False;math
31;CC;human;27;[1, 3];result_3;2:47;0:52;False;False;False;2;math;False;
31;CC;human;28;[2, 3];equation_3;2:48;0:53;True;False;False;1;False;False;
31;CC;human;29;[2, 2];spain;2:54;0:6;False;False;False;1;geography;False;
31;CC;human;30;[1, 0];buenos_aires;3:0;0:12;False;False;False;0.5;geography;False;
31;CC;human;31;[1, 1];argentina;3:0;0:12;False;False;False;0.5;geography;False;
31;CC;human;32;[2, 2];spain;3:5;0:17;False;False;True;1;False;False;
31;CC;human;33;[3, 2];buenos_aires;3:9;0:21;False;False;False;1;geography;False;
31;CC;human;34;[2, 2];madrid;3:10;0:22;False;False;False;0.5;geography;False;
31;CC;human;35;[1, 0];argentina;3:11;0:23;False;False;False;0.5;geography;False;
31;CC;human;36;[3, 2];buenos_aires;3:11;0:23;True;False;False;1;geography;False;
31;CC;human;37;[2, 2];madrid;3:17;0:6;False;False;False;1;geography;False;
31;CC;human;38;[1, 1];spain;3:19;0:8;True;True;False;0;False;False;
