id_player;experiment_condition;turn_token;turn_number;position_clicked;card_clicked;time_game;time_until_match;match;game_ended;board_changed;trials;robot_speech;wrong_card;subject
30;II;human;1;[1, 1];france;00:02;00:02;False;False;False;0;False;False;
30;II;human;2;[2, 3];rome;00:04;00:04;False;False;False;0;geography;False;
30;II;math;3;[0, 2];result_2;00:14;00:14;False;False;False;0;math;False;math
30;II;math;4;[2, 1];result_1;00:15;00:15;False;False;False;4.5;False;False;math
30;II;human;5;[2, 0];result_3;00:19;00:19;False;False;False;4.5;False;False;
30;II;human;6;[3, 2];result_4;00:23;00:23;False;False;False;4;False;False;
30;II;geography;7;[1, 0];equation_3;00:26;00:26;False;False;False;4;False;False;geography
30;II;geography;8;[1, 3];equation_2;00:27;00:27;False;False;False;3.5;False;False;geography
30;II;human;9;[0, 0];argentina;00:35;00:35;False;False;False;3.5;False;False;
30;II;human;10;[0, 2];result_2;00:38;00:38;False;False;False;2.5;False;False;
30;II;human;11;[3, 2];result_4;00:43;00:43;False;False;False;2.5;False;False;
30;II;human;12;[1, 2];equation_1;00:50;00:50;False;False;False;1.5;False;False;
30;II;human;13;[1, 0];equation_3;01:05;01:05;False;False;False;1.5;False;False;
30;II;human;14;[3, 0];italy;01:19;01:19;False;False;False;0.5;geography;False;
30;II;human;15;[2, 2];madrid;01:19;01:19;False;False;False;0.5;False;False;
30;II;human;16;[1, 3];equation_2;01:24;01:24;False;False;True;5;False;False;
30;II;human;17;[1, 2];equation_3;01:27;01:27;False;False;False;5;False;False;
30;II;human;18;[0, 0];france;01:31;01:31;False;False;False;4.5;geography;False;
30;II;math;19;[3, 0];rome;01:31;01:31;False;False;False;4.5;geography;False;math
30;II;math;20;[3, 2];result_1;01:32;01:32;False;False;False;4;math;False;math
30;II;geography;21;[0, 1];spain;01:39;01:39;False;False;False;4;geography;False;geography
30;II;geography;21;[0, 1];spain;01:39;01:39;False;False;False;4;geography;False;geography
30;II;geography;22;[1, 0];argentina;01:40;01:40;False;False;False;3.5;geography;False;geography
30;II;human;23;[1, 3];paris;01:43;01:43;False;False;False;3.5;geography;False;
30;II;human;24;[2, 0];madrid;01:47;01:47;False;False;False;3;False;False;
30;II;human;25;[0, 3];result_4;01:50;01:50;False;False;False;3;False;False;
30;II;human;26;[3, 2];result_1;01:52;01:52;False;False;False;2;False;False;
30;II;human;27;[2, 1];buenos_aires;01:56;01:56;False;False;False;2;False;False;
30;II;human;28;[1, 1];result_3;02:00;02:00;False;False;False;1.5;False;False;
30;II;human;29;[3, 1];equation_4;02:03;02:03;False;False;False;1.5;False;False;
30;II;human;30;[1, 3];paris;02:19;02:19;False;False;False;0.5;False;False;
30;II;human;31;[0, 0];france;02:21;02:21;False;False;False;0.5;False;False;
30;II;human;32;[1, 3];paris;02:22;02:22;True;False;False;5;False;False;
30;II;human;33;[3, 0];rome;02:30;00:08;False;False;False;5;False;False;
30;II;human;34;[0, 1];spain;02:34;00:12;False;False;False;3;False;False;
30;II;human;35;[0, 2];equation_2;02:37;00:15;False;False;False;3;math;False;
30;II;human;36;[3, 2];result_1;02:39;00:17;False;False;False;2;False;False;
30;II;human;37;[0, 3];result_4;02:41;00:19;False;False;False;2;False;False;
30;II;human;38;[0, 2];equation_2;02:43;00:21;False;False;True;5;False;False;
30;II;human;39;[2, 0];spain;02:46;00:24;False;False;False;5;geography;False;
30;II;human;40;[1, 1];buenos_aires;02:50;00:28;False;False;False;4.5;False;False;
30;II;math;41;[3, 1];equation_1;02:52;00:30;False;False;False;4.5;False;False;math
30;II;math;42;[0, 3];result_1;02:53;00:31;True;False;False;4;False;False;math
30;II;geography;43;[3, 0];result_2;02:58;00:05;False;False;False;4;False;False;geography
30;II;geography;44;[1, 1];buenos_aires;02:59;00:06;False;False;False;3;False;False;geography
30;II;human;45;[0, 2];equation_2;03:03;00:10;False;False;False;3;math;False;
30;II;human;46;[3, 0];result_2;03:03;00:10;True;False;False;3;math;False;
30;II;human;47;[2, 2];argentina;03:06;00:03;False;False;False;3;False;False;
